AGLM02	Cover slurry tanks: beef.	Cover slurry tanks: beef.						
AGLM03	Cover slurry lagoons: dairy.	Cover slurry lagoons: dairy.						
AGLM04	Cover slurry tanks dairy.	Cover slurry tanks dairy.						
AGLS05	Improved dairy productivity	Improved dairy productivity						
AGLS08	Improved beef genetics.	Improved beef genetics.						
AGLS25	Locate out wintered stock away from watercourses.	Locate out wintered stock away from watercourses.						
AGLS41	Keep cattle indoors for longer periods.	Keep cattle indoors for longer periods.						
AGLS43	Move feeders at regular intervals	Move feeders at regular intervals						
AGR	Agriculture	Agriculture						
AGRBIODST	First-generation biodiesel for the agricultural sector	First-generation biodiesel for the agricultural sector						
AGRBIODST01	First-generation biodiesel for the agricultural sector	First-generation biodiesel for the agricultural sector						
AGRBIOLPG	Bio-LPG for the agricultural sector	Bio-LPG for the agricultural sector						
AGRBIOLPG01	Bio-LPG for the agricultural sector	Bio-LPG for the agricultural sector						
AGRBOM	Biomethane for the agricultural sector (before distribution grid)	Biomethane for the agricultural sector (before distribution grid)						
AGRBOM01	Biomethane for the agricultural sector (before distribution grid)	Biomethane for the agricultural sector (before distribution grid)						
AGRCH	"energy-related CH4 (sector-wise accounting system, agricultural sector)"	"energy-related CH4 (sector-wise accounting system, agricultural sector)"						
AGRCH4N	"energy-related CH4 (sector-wise accounting system, agricultural sector)"	"energy-related CH4 (sector-wise accounting system, agricultural sector)"						
AGRCH4P	"process-related CH4 (sector-wise accounting system, agriculture sector)"	"process-related CH4 (sector-wise accounting system, agriculture sector)"						
AGRCO	"energy-related CO2 (sector-wise accounting system, agricultural sector)"	"energy-related CO2 (sector-wise accounting system, agricultural sector)"						
AGRCO2N	"energy-related CO2 (sector-wise accounting system, agricultural sector)"	"energy-related CO2 (sector-wise accounting system, agricultural sector)"						
AGRCO2P	"process-related CO2 (sector-wise accounting system, agricultural sector)"	"process-related CO2 (sector-wise accounting system, agricultural sector)"						
AGRCOA	Coal for the agricultural sector	Coal for the agricultural sector						
AGRCOA00	Coal for the agricultural sector	Coal for the agricultural sector						
AGRDISTELC	Electricity for the agricultural sector (after distribution grid)	Electricity for the agricultural sector (after distribution grid)						
AGRELC	Electricity for the agricultural sector (before distribution grid)	Electricity for the agricultural sector (before distribution grid)						
AGRELC00	Electricity for the agricultural sector (before distribution grid)	Electricity for the agricultural sector (before distribution grid)						
AGRELC01	Electricity for the agricultural sector (before distribution grid)	Electricity for the agricultural sector (before distribution grid)						
AGRGRASS	Grassy energy crops for the agricultural sector	Grassy energy crops for the agricultural sector						
AGRGRASS00	Grassy energy crops for the agricultural sector	Grassy energy crops for the agricultural sector						
AGRGRASS01	Grassy energy crops for the agricultural sector	Grassy energy crops for the agricultural sector						
AGRHFO	Heavy fuel oil for the agricultural sector	Heavy fuel oil for the agricultural sector						
AGRHFO00	Heavy fuel oil for the agricultural sector	Heavy fuel oil for the agricultural sector						
AGRHFO01	Heavy fuel oil for the agricultural sector	Heavy fuel oil for the agricultural sector						
AGRHYG	Hydrogen (gaseous) for the agricultural sector (before distribution grid)	Hydrogen (gaseous) for the agricultural sector (before distribution grid)						
AGRHYG01	Hydrogen (gaseous) for the agricultural sector (before distribution grid)	Hydrogen (gaseous) for the agricultural sector (before distribution grid)						
AGRLAND	Agricultural land (only relevant for land-use and agricultural emissions)	Agricultural land (only relevant for land-use and agricultural emissions)						
AGRLAND00	Agricultural land (only relevant for land-use and agricultural emissions)	Agricultural land (only relevant for land-use and agricultural emissions)						
AGRLAND01	Agricultural land (only relevant for land-use and agricultural emissions)	Agricultural land (only relevant for land-use and agricultural emissions)						
AGRLFO	Light fuel oil for the agricultural sector	Light fuel oil for the agricultural sector						
AGRLFO00	Light fuel oil for the agricultural sector	Light fuel oil for the agricultural sector						
AGRLFO01	Light fuel oil for the agricultural sector	Light fuel oil for the agricultural sector						
AGRLPG	Liquified petroleum gas for the agricultural sector	Liquified petroleum gas for the agricultural sector						
AGRLPG00	Liquified petroleum gas for the agricultural sector	Liquified petroleum gas for the agricultural sector						
AGRLPG01	Liquified petroleum gas for the agricultural sector	Liquified petroleum gas for the agricultural sector						
AGRMAINSBOM	Biomethane for the agricultural sector (after distribution grid)	Biomethane for the agricultural sector (after distribution grid)						
AGRMAINSGAS	Natural gas for the agricultural sector (after distribution grid)	Natural gas for the agricultural sector (after distribution grid)						
AGRMAINSHYG	Hydrogen (gaseous) for the agricultural sector (after distribution grid)	Hydrogen (gaseous) for the agricultural sector (after distribution grid)						
AGRN	"energy-related N2O (sector-wise accounting system, agricultural sector)"	"energy-related N2O (sector-wise accounting system, agricultural sector)"						
AGRN2ON	"energy-related N2O (sector-wise accounting system, agricultural sector)"	"energy-related N2O (sector-wise accounting system, agricultural sector)"						
AGRN2OP	"process-related N2O (sector-wise accounting system, agricultural sector)"	"process-related N2O (sector-wise accounting system, agricultural sector)"						
AGRNGA	Natural gas for the agricultural sector (before distribution grid	Natural gas for the agricultural sector (before distribution grid						
AGRNGA00	Natural gas for the agricultural sector (before distribution grid	Natural gas for the agricultural sector (before distribution grid						
AGRNGA01	Natural gas for the agricultural sector (before distribution grid	Natural gas for the agricultural sector (before distribution grid						
AGRPOLWST	Poultry litter & farm waste for the agricultural sector	Poultry litter & farm waste for the agricultural sector						
AGRPOLWST00	Poultry litter & farm waste for the agricultural sector	Poultry litter & farm waste for the agricultural sector						
AGRPOLWST01	Poultry litter & farm waste for the agricultural sector	Poultry litter & farm waste for the agricultural sector						
AHEAT	Heat demand in the agricultural sector (in PJ)	Heat demand in the agricultural sector (in PJ)						
AHTBLRB	biomass boiler	biomass boiler						
AHTBLRB00	Existing biomass boiler	Existing biomass boiler						
AHTBLRB01	New biomass boiler	New biomass boiler						
AHTBLRC	coal boiler	coal boiler						
AHTBLRC00	Existing coal boiler	Existing coal boiler						
AHTBLRG	gas / LPG condensing boiler	gas / LPG condensing boiler						
AHTBLRG00	Existing gas / LPG condensing boiler	Existing gas / LPG condensing boiler						
AHTBLRG01	New gas / LPG condensing boiler	New gas / LPG condensing boiler						
AHTBLRH	hydrogen condensing boiler	hydrogen condensing boiler						
AHTBLRH01	New hydrogen condensing boiler	New hydrogen condensing boiler						
AHTBLRO	oil condensing boiler	oil condensing boiler						
AHTBLRO00	Existing oil condensing boiler	Existing oil condensing boiler						
AHTBLRO01	New oil condensing boiler	New oil condensing boiler						
ALAND	Demand for agricultural land (in Mha)	Demand for agricultural land (in Mha)						
ALU	Process representing current land use and agricultural emissions (from crops and livestock)	Process representing current land use and agricultural emissions (from crops and livestock)						
ALU00	Process representing current land use and agricultural emissions (from crops and livestock)	Process representing current land use and agricultural emissions (from crops and livestock)						
ALU01	Process representing future land use and agricultural emissions (from crops and livestock)	Process representing future land use and agricultural emissions (from crops and livestock)						
ALUFOR	Mitigation option for land use CO2 emissions: reforestation	Mitigation option for land use CO2 emissions: reforestation						
ALUFOR01	Mitigation option for land use CO2 emissions: reforestation	Mitigation option for land use CO2 emissions: reforestation						
AMAINPGAS	gas distribution grid to the agricultural sector	gas distribution grid to the agricultural sector						
AMAINPGAS00	Existing gas distribution grid to the agricultural sector	Existing gas distribution grid to the agricultural sector						
AMAINPGAS00	gas distribution grid to the agricultural sector	gas distribution grid to the agricultural sector						
AMAINPGAS01	New gas distribution grid to the agricultural sector	New gas distribution grid to the agricultural sector						
AMAINPGAS01	gas distribution grid to the agricultural sector	gas distribution grid to the agricultural sector						
AMAINPHYG	hydrogen distribution grid to the agricultural sector	hydrogen distribution grid to the agricultural sector						
AMAINPHYG01	New hydrogen distribution grid to the agricultural sector	New hydrogen distribution grid to the agricultural sector						
AMAINPHYG01	Hydrogen (gaseous) for the agricultural sector (after distribution grid)	Hydrogen (gaseous) for the agricultural sector (after distribution grid)						
AN	Commodity fraction - Autumn Night							
AP	Commodity fraction - Autumn Peak							
ATRA	Transport demand in the agricultural sector (in PJ)	Transport demand in the agricultural sector (in PJ)						
ATRA00	Existing generic transport technology  (Efficiency = 1)	Existing generic transport technology  (Efficiency = 1)						
ATRA01	New generic transport technology (Efficiency =1)	New generic transport technology (Efficiency =1)						
BENZ	Benzole and tars	Benzole and tars						
BFG	Blast furnace gas	Blast furnace gas						
BGRASS	Grassy energy crops	Grassy energy crops						
BIODST	First-generation biodiesel	First-generation biodiesel						
BIODST-FT	Second-generation biodiesel (Fischer-Tropsch)	Second-generation biodiesel (Fischer-Tropsch)						
BIOKER-FT	"Second-generation biokerosene (heating oil, Fischer-Tropsch)"	"Second-generation biokerosene (heating oil, Fischer-Tropsch)"						
BIOLFO	Bio-light fuel oil	Bio-light fuel oil						
BIOLPG	Bio-LPG for the industry sector							
BIOOIL	Bio-oil	Bio-oil						
BOG-AD	Biogas from anaerobic digestion	Biogas from anaerobic digestion						
BOG-G	Biogas from gasification	Biogas from gasification						
BOG-LF	Landfill gas	Landfill gas						
BOG-SW	Sewage gas	Sewage gas						
BOM	Bio-methane	Bio-methane						
Bp-km	Billion passenger kilometres							
Bp-km_a	Capacity to travel 1 billion passenger kilometres in a year							
BPELH	Wood pellets (high quality)	Wood pellets (high quality)						
BPELL	Wood pellets (low quality)	Wood pellets (low quality)						
Bpkm	billion passenger km	billion passenger km						
Bpkm	Billion passenger kilometres							
Bpkm_a	Capacity to travel 1 billion passenger kilometres in a year							
BPOLWST	Poultry litter & farm waste	Poultry litter & farm waste						
BRSEED	Rape seed	Rape seed						
BSEWSLG	Sewage sludge	Sewage sludge						
BSLURRY	Animal slurry	Animal slurry						
BSTARCH	Starch crops	Starch crops						
BSTWWST	Dry agricultural residues	Dry agricultural residues						
BSUGAR	Sugar crops	Sugar crops						
Btkm	billion tonne km (for freight) 	billion tonne km (for freight) 						
Btkm	Billion tonne kilometres							
Btkm_a	Capacity to travel 1 billion tonne kilometres in a year							
BTREATSTW	Pre-treated dry agricultural residue	Pre-treated dry agricultural residue						
BTREATWOD	Pre-treated waste wood	Pre-treated waste wood						
Bv-km	 billion vehicle km	 billion vehicle km						
Bv-km	Billion vehicle kilometres							
BVOFAT	Vegetable waste oil	Vegetable waste oil						
BVOIL	Vegetable oil	Vegetable oil						
BWOD	Woody energy crops	Woody energy crops						
BWODLOG	Stemwood	Stemwood						
BWODWST	Waste wood	Waste wood						
CAP_BND	bound on capacity	bound on capacity						
CAP2ACT	Units of activity/unit of capacity							
CCSPIP	Pipelines for CCS transport	Pipelines for CCS transport						
CCSPIP01	Pipelines for CCS transport	Pipelines for CCS transport						
CCSSAQ	"CCS storage, offshore aquifer"	"CCS storage, offshore aquifer"						
CCSSAQ01	"CCS storage, offshore aquifer"	"CCS storage, offshore aquifer"						
CCSSNS	"CCS storage, near shore storage sites"	"CCS storage, near shore storage sites"						
CCSSNS01	"CCS storage, near shore storage sites"	"CCS storage, near shore storage sites"						
CCSSOS	"CCS storage, depleted offshore oil and gas reservoirs"	"CCS storage, depleted offshore oil and gas reservoirs"						
CCSSOS01	"CCS storage, depleted offshore oil and gas reservoirs"	"CCS storage, depleted offshore oil and gas reservoirs"						
CEFF	Technical Efficiency - Comodity Specific - 2010							
CEFF-O	Technical Efficiency - Comodity Specific - output based - 2010							
CEFF-O~2030	Technical Efficiency - Comodity Specific - output based - 2030							
CEFF-O~2050	Technical Efficiency - Comodity Specific - output based - 2050							
CEFF~2015	Technical Efficiency - Comodity Specific - 2015							
CEFF~2020	Technical Efficiency - Comodity Specific - 2020							
CEFF~2025	Technical Efficiency - Comodity Specific - 2025							
CEFF~2030	Technical Efficiency - Comodity Specific - 2030							
CEFF~2035	Technical Efficiency - Comodity Specific - 2035							
CEFF~2040	Technical Efficiency - Comodity Specific - 2040							
CEFF~2045	Technical Efficiency - Comodity Specific - 2045							
CEFF~2050	Technical Efficiency - Comodity Specific - 2050							
CEH	Ratio of electricity lost to heat gained	Ratio of electricity lost to heat gained						
CFV	conventional fuel vehicle	conventional fuel vehicle						
CH	CH4 (aggregate accounting system)	CH4 (aggregate accounting system)						
CH4TOT	CH4 (aggregate accounting system)	CH4 (aggregate accounting system)						
CHPR~FX	Heat to power ratio for chp technology							
CNG	Compressed natural gas vehicle	Compressed natural gas vehicle						
CO	Sequestered emissions	Sequestered emissions						
CO2SEQ	Sequestered emissions	Sequestered emissions						
CO2TOT	CO2 (aggregate accounting system)	CO2 (aggregate accounting system)						
COA	Coal	Coal						
COA-E	"Coal (from domestic extraction, is exported and reimported)"	"Coal (from domestic extraction, is exported and reimported)"						
COACOK	Coking coal	Coking coal						
COG	Coke oven gas	Coke oven gas						
COK	Coke	Coke						
COM_FR~AD	Commodity fraction - Autumn Day							
COM_FR~AE	Commodity fraction - Autumn Evening							
COM_FR~AN	Commodity fraction - Autumn Night							
COM_FR~AP	Commodity fraction - Autumn Peak							
COM_FR~PD	Commodity fraction - Spring Day							
COM_FR~PE	Commodity fraction - Spring Evening							
COM_FR~PN	Commodity fraction - Spring Night							
COM_FR~PP	Commodity fraction - Spring Peak							
COM_FR~SD	Commodity fraction - Summer Day							
COM_FR~SE	Commodity fraction - Summer Evening							
COM_FR~SN	Commodity fraction - Summer Night							
COM_FR~SP	Commodity fraction - Summer Peak							
COM_FR~WD	Commodity fraction - Winter Day							
COM_FR~WE	Commodity fraction - Winter Evening							
COM_FR~WN	Commodity fraction - Winter Night							
COM_FR~WP	Commodity fraction - Winter Peak							
Comm-IN	Input Commodity							
Comm-OUT	Output Commodity							
DSL	diesel	diesel						
DST	diesel	diesel						
E	E85 is an abbreviation for an ethanol fuel blend of 85% denatured ethanol fuel and 15% gasoline or other hydrocarbon by volume	E85 is an abbreviation for an ethanol fuel blend of 85% denatured ethanol fuel and 15% gasoline or other hydrocarbon by volume						
E85	E85 is an abbreviation for an ethanol fuel blend of 85% denatured ethanol fuel and 15% gasoline or other hydrocarbon by volume	E85 is an abbreviation for an ethanol fuel blend of 85% denatured ethanol fuel and 15% gasoline or other hydrocarbon by volume						
EBIO	Large pellets combustion plant	Large pellets combustion plant						
EBIO01	Large pellets combustion plant	Large pellets combustion plant						
EBIOQ	Large pellets combustion plant with CCS	Large pellets combustion plant with CCS						
EBIOQ01	Large pellets combustion plant with CCS	Large pellets combustion plant with CCS						
EBIOS	pellets combustion plants (small)	pellets combustion plants (small)						
EBIOS00	Existing pellets combustion plants (small)	Existing pellets combustion plants (small)						
EBOG-ADE	Combustion plant for biogas from anaerobic digestion	Combustion plant for biogas from anaerobic digestion						
EBOG-ADE01	Combustion plant for biogas from anaerobic digestion	Combustion plant for biogas from anaerobic digestion						
EBOG-LFE	landfill gas engines	landfill gas engines						
EBOG-LFE00	Existing landfill gas engines	Existing landfill gas engines						
EBOG-LFE01	Landfill gas engine	Landfill gas engine						
EBOG-SWE	sewage gas engines	sewage gas engines						
EBOG-SWE00	Existing sewage gas engines	Existing sewage gas engines						
ECAESCON	diabatic compressed air energy storage (CAES) - converter	diabatic compressed air energy storage (CAES) - converter						
ECAESCON01	New diabatic compressed air energy storage (CAES) - converter	New diabatic compressed air energy storage (CAES) - converter						
ECAESTUR	diabatic compressed air energy storage (CAES) - turbine	diabatic compressed air energy storage (CAES) - turbine						
ECAESTUR01	New diabatic compressed air energy storage (CAES) - turbine	New diabatic compressed air energy storage (CAES) - turbine						
ECOA	coal power plants 	coal power plants 						
ECOA00	Existing coal power plants 	Existing coal power plants 						
ECOABIO	coal power plants  with biomass co-firing (based on Drax)	coal power plants  with biomass co-firing (based on Drax)						
ECOABIO00	Existing coal power plants  with biomass co-firing (based on Drax)	Existing coal power plants  with biomass co-firing (based on Drax)						
ECOAQ	Advanced supercritical coal (ASC) plant with post-combustion CCS	Advanced supercritical coal (ASC) plant with post-combustion CCS						
ECOAQ01	Advanced supercritical coal (ASC) plant with post-combustion CCS	Advanced supercritical coal (ASC) plant with post-combustion CCS						
ECOAQR	CCS (post-combustion) retrofit for ASC plant 	CCS (post-combustion) retrofit for ASC plant 						
ECOAQR01	CCS (post-combustion) retrofit for ASC plant 	CCS (post-combustion) retrofit for ASC plant 						
ECOARR	Advanced supercritical coal (ASC) plant with flue gas desulphurisation (FGD) 	Advanced supercritical coal (ASC) plant with flue gas desulphurisation (FGD) 						
ECOARR01	Advanced supercritical coal (ASC) plant with flue gas desulphurisation (FGD) 	Advanced supercritical coal (ASC) plant with flue gas desulphurisation (FGD) 						
EFF	Technical efficiency - 2010							
EFF~2010	Average Technical efficiency of Stock - 2010							
EFF~2015	Average Technical efficiency of Stock - 2020							
EFF~2020	Average Technical efficiency of Stock - 2025							
EFF~2020	Average Technical efficiency of Stock - 2020							
EFF~2025	Average Technical efficiency of Stock - 2025							
EFF~2030	Average Technical efficiency of Stock - 2030							
EFF~2035	Average Technical efficiency of Stock - 2035							
EFF~2040	Average Technical efficiency of Stock - 2040							
EFF~2045	Average Technical efficiency of Stock - 2045							
EFF~2050	Average Technical efficiency of Stock - 2050							
EGEO	Geothermal power plant	Geothermal power plant						
EGEO01	Geothermal power plant	Geothermal power plant						
EHFOIGCC	Oil-fired integrated gasification combined cycle (IGCC) plant	Oil-fired integrated gasification combined cycle (IGCC) plant						
EHFOIGCC01	Oil-fired integrated gasification combined cycle (IGCC) plant	Oil-fired integrated gasification combined cycle (IGCC) plant						
EHFOIGCCQ	Oil-fired IGCC plant with CCS	Oil-fired IGCC plant with CCS						
EHFOIGCCQ01	Oil-fired IGCC plant with CCS	Oil-fired IGCC plant with CCS						
EHYD	hydro reservoir plants	hydro reservoir plants						
EHYD00	Existing hydro reservoir plants	Existing hydro reservoir plants						
EHYD01	Hydro reservoir plant	Hydro reservoir plant						
EHYDPMP	pumped hydro storage	pumped hydro storage						
EHYDPMP00	Existing pumped hydro storage	Existing pumped hydro storage						
EHYDPMP01	New pumped hydro storage	New pumped hydro storage						
EHYGCCT	Hydrogen combined-cycle gas turbine (CCGT)	Hydrogen combined-cycle gas turbine (CCGT)						
EHYGCCT01	Hydrogen combined-cycle gas turbine (CCGT)	Hydrogen combined-cycle gas turbine (CCGT)						
EHYGOCT	Hydrogen open-cycle gas turbine (OCGT) 	Hydrogen open-cycle gas turbine (OCGT) 						
EHYGOCT01	Hydrogen open-cycle gas turbine (OCGT) 	Hydrogen open-cycle gas turbine (OCGT) 						
ELC	Electricity	Electricity (after transmission grid)						
ELC-E-EU	Electricity exported to Continental Europe	Electricity exported to Continental Europe						
ELC-E-IRE	Electricity exported to Ireland	Electricity exported to Ireland						
ELC-I-EU	Electricity imported from Continental Europe	Electricity imported from Continental Europe						
ELC-I-IRE	Electricity imported from Ireland	Electricity imported from Ireland						
ELCBFG	Blast furnace gas	Blast furnace gas						
ELCBFG00	Blast furnace gas							
ELCBIOCOA	Bio-coal	Bio-coal						
ELCBIOCOA01	Retrofit technology for coal power plants for co-firing of biomass (up to 100%) 	Retrofit technology for coal power plants for co-firing of biomass (up to 100%) 						
ELCBIOLFO	Bio-light fuel oil	Bio-light fuel oil						
ELCBIOOIL	Bio-oil	Bio-oil						
ELCBOG-AD	Biogas from anaerobic digestion	Biogas from anaerobic digestion						
ELCBOG-LF	Landfill gas	Landfill gas						
ELCBOG-LF00	Landfill gas							
ELCBOG-SW	Sewage gas	Sewage gas						
ELCBOG-SW00	Sewage gas							
ELCBOM	Biomethane for the electricity sector - before mixing in transmission grid or feed-in in distribution grid	Biomethane for the electricity sector - before mixing in transmission grid or feed-in in distribution grid						
ELCBOM00	Biomethane for the electricity sector - before mixing in transmission grid or feed-in in distribution grid							
ELCCH	"energy-related CH4 (sector-wise accounting system, electricity)"	"energy-related CH4 (sector-wise accounting system, electricity)"						
ELCCH4N	"energy-related CH4 (sector-wise accounting system, electricity)"	"energy-related CH4 (sector-wise accounting system, electricity)"						
ELCCO	"energy-related CO2 (sector-wise accounting system, electricity)"	"energy-related CO2 (sector-wise accounting system, electricity)"						
ELCCO2N	"energy-related CO2 (sector-wise accounting system, electricity)"	"energy-related CO2 (sector-wise accounting system, electricity)"						
ELCCOA	Hard coal	Hard coal						
ELCCOA00	Hard coal							
ELCCOALCO	Dummy input in retrofit coal plants (not needed for results)	Dummy input in retrofit coal plants (not needed for results)						
ELCCOALCO2	Dummy input in retrofit coal plants (not needed for results)	Dummy input in retrofit coal plants (not needed for results)						
ELCCOG	Coke oven gas	Coke oven gas						
ELCCOG00	Coke oven gas							
ELCCOMAIR	Dummy input for diabatic compressed air energy storage (CAES)	Dummy input for diabatic compressed air energy storage (CAES)						
ELCDUMMY	Dummy output of retrofit plants (not needed for results)	Dummy output of retrofit plants (not needed for results)						
ELCEE	export capacity to Continental Europe	export capacity to Continental Europe						
ELCEE00	Existing export capacity to Continental Europe	Existing export capacity to Continental Europe						
ELCEE01	New export capacity to Continental Europe	New export capacity to Continental Europe						
ELCEI	export capacity to Ireland	export capacity to Ireland						
ELCEI00	Existing export capacity to Ireland	Existing export capacity to Ireland						
ELCEI01	New export capacity to Ireland	New export capacity to Ireland						
ELCGASCO	Dummy input in retrofit natural gas plants (not needed for results)	Dummy input in retrofit natural gas plants (not needed for results)						
ELCGASCO2	Dummy input in retrofit natural gas plants (not needed for results)	Dummy input in retrofit natural gas plants (not needed for results)						
ELCGEN	Generated electricity (before transmission grid)	Generated electricity (before transmission grid)						
ELCGEO	Geothermal energy	Geothermal energy						
ELCGEO00	Geothermal energy							
ELCHFCN	"energy-related HFC (sector-wise accounting system, electricity)"							
ELCHFO	Heavy fuel oil	Heavy fuel oil						
